Title_Pinyin,Title,Title_Translation,Title_Abbreviation,Category,Associated_Location,Date,Author,Author_Pinyin,Author_Dates,Author2,Author2_Pinyin,Author3,Author3_Pinyin,Edition,Editor,Editor_Pinyin,Editor2,Editor2_Pinyin,Publication_Date,Publishing_House,Publication_Location,Sub-edition,Sub-edition_Pinyin,Sub-edition_Translation,Sub-edition_Author,Sub-edition_Author_Pinyin,Sub-edition_Author_CBDB,Digital_Edition,Collection,Link,Note,
Han shu,漢書,History of the Han,,正史,,Eastern Han,班固,Ban Gu,,,,,,,,,,,,,,豫章郡,Yuzhang jun,Yuzhang Commandery,,,,China Text Project,,https://ctext.org/han-shu/di-li-zhi#n64209,,
Nongsang jiyao,農桑輯要,Essentials of Agriculture and Sericulture,,農家,,1273,司農司,Board of Agriculture,,,,,,欽定四庫全書,,,,,,,,插杉,cha shan,planting firs,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=210722#%E6%9D%BE,,
Nongsang jiyao,農桑輯要,Essentials of Agriculture and Sericulture,,農家,,1273,司農司,Board of Agriculture,,,,,,,,,,,,,,插杉,cha shan,planting firs,,,,Wikisource,,https://zh.wikisource.org/wiki/%E8%BE%B2%E6%A1%91%E8%BC%AF%E8%A6%81/%E5%8D%B7%E4%B9%8B%E5%85%AD,,
Zuiwei lu,罪惟録,,,野史,,明,查繼佐,Cha Jizuo,,,,,,吳興劉氏嘉業堂藏手稿本,,,,,,,,播州楊氏,Bozhou Yang shi,biography of the Bozhou Yang house,,,,Wikisource,,https://zh.wikisource.org/wiki/%E7%BD%AA%E6%83%9F%E9%8C%84_(%E5%9B%9B%E9%83%A8%E5%8F%A2%E5%88%8A%E6%9C%AC)/%E5%88%97%E5%82%B3%E5%8D%B7%E4%B8%89%E5%8D%81%E5%9B%9B,,
Tang lü shuyi,唐律疏議,Tang Code With Commentary,,政書,,653,長孫無忌,Chansun Wuji,,,,,,,,,,,,,,山野物已加功力,shanye wu yi jiagongli,Wildland Products with Labor Already Invested,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%94%90%E5%BE%8B%E7%96%8F%E8%AD%B0/%E5%8D%B7%E7%AC%AC%E4%BA%8C%E5%8D%81#291_%E5%B1%B1%E9%87%8E%E7%89%A9%E5%B7%B2%E5%8A%A0%E5%8A%9F%E5%8A%9B,,
Tang lü shuyi,唐律疏議,Tang Code With Commentary,,政書,,653,長孫無忌,Chansun Wuji,,,,,,,,,,,,,,占山野陂湖利,zhan shanye pohu li,Monopolizing the Bounties of Wildlands and Wetlands,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%94%90%E5%BE%8B%E7%96%8F%E8%AD%B0/%E5%8D%B7%E7%AC%AC%E4%BA%8C%E5%8D%81%E5%85%AD#405_%E5%8D%A0%E5%B1%B1%E9%87%8E%E9%99%82%E6%B9%96%E5%88%A9,,
Bamin tongzhi,八閩通志,,,地方誌,福建,1491,陳道修,Chen Dao,,黄促昭纂,Huang Zuzhao,,,明弘治刻本,,,,,,,,田土,tiantu,landholdings,,,,LoGaRT,中國方志庫一集,,,
Nanhai zhi,南海志,,,地方誌,廣東,1304,陳大震修,Chen Dazhen,,吕桂孫纂,Lu Guisun,,,元大德刻本,,,,,,,,戶口,hukou,demographics,,,,LoGaRT,中國方志庫一集,,,
Chunxi Sanshan zhi,淳熙三山志,,,地方誌,福州,1182,陳傅良,Chen Fulang,,梁克家,Liang Kejia,,,,,,,,,,,版籍类,banji lei,Registers,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%B7%B3%E7%86%99%E4%B8%89%E5%B1%B1%E5%BF%97/%E5%8D%B710,,
Jiajing Changde fuzhi,嘉靖常德府志,,,地方誌,常德,1547,陳洪謨,Chen Hongmo,,,,,,明嘉靖刻本,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Zhengde Nankang fuzhi,正德南康府志,,,地方誌,南康,正德,陈霖,Chen Lin,,,,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Jiajing Yanping fuzhi,嘉靖延平府志,,,地方誌,延平,1525,陳能修,Chen Neng,,鄭慶雲纂,Zheng Qingyun,,,明嘉靖刻本,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Pengchuang rilu,蓬窗日錄,,,野史,,明,陳全之,Chen Quanzhi,,,,,,,,,,,,,,江西,Jiangxi,,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=293542#%E6%B1%9F%E8%A5%BF,,
Pengchuang rilu,蓬窗日錄,,,野史,,明,陳全之,Chen Quanzhi,,,,,,,,,,,,,,福建,Fujian,,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=293542#%E7%A6%8F%E5%BB%BA,,
Jiajing Shaowu fuzhi,嘉靖邵武府志,,,地方誌,邵武,1543,陳讓纂,Chen Rang,,邢址纂,Xing Zhi,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Chidu shuangyu,尺牘雙魚,,,政書,,明,陳繼儒,Chen Xuru,,,,,,中国历代契约汇编考译,张传玺,Zhang Zhuanxi,,,1995,北京大学出版社,北京,,,,,,,,,,,
Guangdong tongzhi chugao,廣東通志初稿,,,地方誌,廣東,1535,戴璟修,Dai Jing,,張岳纂,Zhang Yue,,,明嘉靖刻本,,,,,,,,田賦,tianfu,land taxes,,,,LoGaRT,中國方志庫一集,,,
Zhiyuan Jiahe zhi,至元嘉禾志,,,地方誌,嘉興,1288,單慶修,Dan Qing,,徐碩纂,Xu Shuo,,,清道光刻本,,,,,,,,戶口,hukou,demographics,,,,LoGaRT,中國方志庫一集,,,
Kangxi Junlian xian zhi,康熙筠連縣志,,,地方誌,筠連縣,1685,丁林聲,Ding Linsheng,,,,,,清康熙二十五年刻本,,,,,,,,木政,mu zheng,timber administration,,,,LoGaRT,中國方志庫一集,,,
Kangxi Xuzhou fu Qingfu xian zhi,康熙叙州府慶符縣志,,,地方誌,慶符縣,1685,丁林聲修,Ding Linsheng,,王之熊纂,Wang Zhixiong,,,清康熙二十五年刻本,,,,,,,,木政,mu zheng,timber administration,,,,LoGaRT,中國方志庫一集,,,
Canluan lu,驂鸞錄,,,傳記,,南宋,范成大,Fan Chengda,,,,,,,,,,,,,,,,,,,,Wikisource,,https://zh.wikisource.org/zh-hant/%E9%A9%82%E9%B8%9E%E9%8C%84,,
Wanli xinxiu Nanchang fuzhi,萬曆新修南昌府志,,,地方誌,南昌,1588,范淶修,Fan Lai,,章潢纂,Zhang Yan,,,明萬曆十六年刻本,,,,,,,,,,,,,,,日本藏中國罕見地方志叢刊,,,
Hou Han shu,後漢書,History of the Later Han,,正史,,Southern Dynasties Song,范曄,Fan Ye,,,,,,,,,,,,,,豫章郡,Yuzhang jun,Yuzhang Commandery,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%BE%8C%E6%BC%A2%E6%9B%B8/%E5%8D%B7112#%E6%8F%9A%E5%B7%9E,,
Qingxi kou gui,青溪寇軌,Tracks of the Qingxi Bandits,,杂史,,1141,方勺,Fang Shao,,,,,,金華叢書本,,,,,,,,,,,,,,,,,,
Jin shu,晉書,History of the Jin,,正史,,Tang,房玄齡,Fang Xuanling,,,,,,,,,,,,,,豫章郡,Yuzhang jun,Yuzhang Commandery,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%99%89%E6%9B%B8/%E5%8D%B7015#%E6%8F%9A%E5%B7%9E,,
Yongzheng Jiangxi tongzhi,雍正江西通志,,,地方誌,江西,1732,髙其倬,Gao Qizhuo,,尹繼善,Yin Jishan,謝旻,Xie Min,四庫全書本,,,,,,,,恤新縣疏,xu xin xian shu,long memorial on pitying and renewing the counties,錢琦,Qian Qi,,Wikisource,,https://zh.wikisource.org/zh-hant/%E6%B1%9F%E8%A5%BF%E9%80%9A%E5%BF%97_(%E5%9B%9B%E5%BA%AB%E5%85%A8%E6%9B%B8%E6%9C%AC)/%E5%8D%B7117,,
Xi cha huicao,西槎彚草,Essays on Timber Rafting in the Western Regions,,雜家,,1533,龔輝,Gong Hui,,,,,,天一閣刻本,,,,,,,,,,,,,,World Digital Library,Library of Congress,https://www.wdl.org/en/item/4696/,,Chinese Rare Books Collection Control number 2012402100
Jiajing Yongfeng xianzhi,嘉靖永豐縣志,,,地方誌,永豐縣,1544,管景纂修,Guan Jing,,,,,,明嘉靖刻本,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Zhenchuan xiansheng ji,震川先生集,,,别集,,明,歸有光,Gui Youguang,,,,,,四部丛刊本,,,,,,,,通議大夫都察院左副都御史李公行狀,tongyidafu duchayuan zuofuyudushi Li gong xingzhuang,"Obituary of Grand Master for Transmitting Proposals, Censorate Vice Censor-in-chief of the Left Li [Xianqing]",,,,Wikisource,,https://zh.wikisource.org/zh-hant/%E9%9C%87%E5%B7%9D%E5%85%88%E7%94%9F%E9%9B%86/%E5%8D%B7%E4%BA%8C%E5%8D%81%E4%BA%94#%E9%80%9A%E8%AD%B0%E5%A4%A7%E5%A4%AB%E9%83%BD%E5%AF%9F%E9%99%A2%E5%B7%A6%E5%89%AF%E9%83%BD%E5%BE%A1%E5%8F%B2%E6%9D%8E%E5%85%AC%E8%A1%8C%E7%8B%80,,
Changguozhou tuzhi,昌國州圖志,,,地方誌,昌國州,1298,郭薦修,Guo Jian,,馮福京纂,Guo Fujing,,,清文淵閣四庫全書本,,,,,,,,戶口,hukou,demographics,,,,LoGaRT,中國方志庫一集,,,
Min shu,閩書,,,地方誌,福建,1631,何喬遠,He Qiaoda,,,,,,明崇禎刻本,,,,,,,,版籍志,banji zhi,registers,,,,LoGaRT,中國方志庫一集,,,
Yijian wu zhi,夷堅戊志,,,小説家,,南宋,洪邁,Hong Mai,,,,,,,,,,,,,,,,,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%A4%B7%E5%A0%85%E5%BF%97#%E5%A4%B7%E5%A0%85%E6%88%8A%E5%BF%97,Quoted in 賓退綠 9,
Baoqing Siming zhi,寶慶四明志,,,地方誌,寧波,1227,胡榘修,Hu Ju,,方萬里纂,Fang Wanli,,,清文淵閣四庫全書本,,,,,,,,,,,,,,LoGaRT,中國方志庫一集,,,
Jiajing Zhejiang tongzhi,嘉靖浙江通志,,,地方誌,浙江,1561,胡宗宪修,Hu Zongxian,,薛应旂纂,Xue Yingqi,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Yantie lun,鹽鐵論,Discourses on Salt and Iron,,儒家,,After -81,桓寬,Huan Kuan,(~-81),,,,,,,,,,,,,本議,benyi,The Basic Argument,,,,China Text Project,,https://ctext.org/yan-tie-lun/ben-yi,,
Yantie lun,鹽鐵論,Discourses on Salt and Iron,,儒家,,After -81,桓寬,Huan Kuan,(~-81),,,,,四庫全書本,,,,,,,,本議,benyi,The Basic Argument,,,,Wikisource,,https://zh.wikisource.org/wiki/%E9%B9%BD%E9%90%B5%E8%AB%96/%E5%8D%B701#%E6%9C%AC%E8%AD%B0%E7%AC%AC%E4%B8%80,,
Yongzheng Sichuan tongzhi,雍正四川通志,,,地方誌,四川,雍正,黄廷桂修,Huang Yangui,,张晋生纂,Zhang Jinsheng,,,,,,,,,,,木政,mu zheng,timber administration,,,,LoGaRT,中國方志庫一集,,,
Jiading Chicheng zhi,嘉定赤城志,,,地方誌,台州,1221,黄㽦修,Huang Ying,,陳耆卿纂,Chen Qiqing,,,清文淵閣四庫全書本,,,,,,,,版籍門,banji men,registers,,,,LoGaRT,中國方志庫一集,,,
Qimin yaoshu,齊民要術,Essential Techniques for the Welfare of the People,,農家,,Northern Wei,賈思勰,Jia Sixie,,,,,,,,,,,,,,種榆白楊第四十六,zhong yu baiyang di sihiliu,Part 46 - Growing Elm and Poplar,,,,China Text Project,,https://ctext.org/wiki.pl?if=en&chapter=337648#%E7%A8%AE%E6%A6%86%E3%80%81%E7%99%BD%E6%A5%8A%E7%AC%AC%E5%9B%9B%E5%8D%81%E5%85%AD,,
Qimin yaoshu,齊民要術,Essential Techniques for the Welfare of the People,,農家,,Northern Wei,賈思勰,Jia Sixie,,,,,,四庫全書本,,,,,,,,種榆白楊第四十六,zhong yu baiyang di sihiliu,Part 46 - Growing Elm and Poplar,,,,Wikisource,,https://zh.wikisource.org/wiki/%E9%BD%8A%E6%B0%91%E8%A6%81%E8%A1%93/%E5%8D%B7%E7%AC%AC%E4%BA%94#%E7%A8%AE%E6%A6%86%E7%99%BD%E6%A5%8A%E7%AC%AC%E5%9B%9B%E5%8D%81%E5%85%AD,,
Jiangxi sheng fuyi quanshu,江西省賦役全書,Jiangxi Province Complete Tax Records,,地方誌,江西,1611,江西布政使司,Jiangxi Adminstrative Commissioner's Office,,,,,,明萬曆三十九年刻本,,,,,,,,,,,,,,,,,,
Jiajing Ganzhou fuzhi,嘉靖贛州府志,,,地方誌,贛州,1536,康河修,Kang He,,董天錫纂,Dong Tianxi,,,明嘉靖刻本,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,內府庫,neifu ku,inner court warehouses,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=960561,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,黃冊,huang ce,Yellow Registers,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=870950,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,柴炭,chaitan,fuel,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=293560,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,沿江蘆課,yanjiang lu ke,reed taxes along the river,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=685671,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,捕採,bu cai,hunting and gathering,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=674689,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,抽分,choufen,tariffs,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=426428#p2,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,船首,chuanshou,ships,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=543832,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,計該支柴炭,ji gai zhi chaitan,fuel dibursement quotas,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=685671#p174,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,屯田清吏司,tuntian qingli si,military farms bureau,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=685671#p131,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,營造一,yingjian yi,construction part 1,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=771137,,
Da Ming huidian,大明會典,Collected Statutes of the Ming Dynasty,,政書,,1587,李東陽,Li Dongyang,,,,,,,,,,,,,,物料,wuliao,materials,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&chapter=285514,,
Taiping guangji,太平廣記,Extensive Records of the Taiping Reign,,類書,,981,李昉,Li Fang,,,,,,,,,,,,,,徐彥成,Xu Yancheng,,徐鉉,Xu Xuan,0012236,Wikisource,,https://zh.wikisource.org/wiki/%E5%A4%AA%E5%B9%B3%E5%BB%A3%E8%A8%98/%E5%8D%B7%E7%AC%AC354#%E5%BE%90%E5%BD%A5%E6%88%90,quoting 稽神錄,
Taiping yulan,太平御覽,Imperial Encyclopedia of the Taiping Reign,,類書,,984,李昉,Li Fang,,,,,,,,,,,,,,南康記,Nankang ji,Record of Nankang,鄧德明,Liu Deming,,Wikisource,,https://zh.wikisource.org/wiki/%E5%A4%AA%E5%B9%B3%E5%BE%A1%E8%A6%BD/0884,,
Taiping yulan,太平御覽,Imperial Encyclopedia of the Taiping Reign,,類書,,984,李昉,Li Fang,,,,,,四庫全書本,,,,,,,,上落山,Shangluo shan,Mout Shangluo,顾野王,Gu Yewang,,Wikisource,,https://zh.wikisource.org/wiki/%E5%A4%AA%E5%B9%B3%E5%BE%A1%E8%A6%BD/0048#%E4%B8%8A%E6%B4%9B%E5%B1%B1,quoting 輿地志,
Hongzhi Fuzhou fuzhi,弘治撫州府志,,,地方誌,撫州,1503,黎喆,Li Ji,,呂傑,Lu Jie,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Hongzhi Taicang zhouzhi,弘治太倉州志,,,地方誌,,1500,李端修,Li Rui,,桑悅纂,Sang Yue,,,,,,,,,,,,,,,,,LoGaRT,中國方志庫一集,,,
Qianlong Qiyang xianzhi,乾隆祁陽縣志,,,地方誌,祁陽縣,1765,李蒔修,Li Shi,,矌敏本纂,Guang Minben,,,清乾隆三十年刻本,,,,,,,,風俗,fengsu,customs,,,,LoGaRT,中國方志庫一集,,,
Xu zizhi tongjian changbian,續資治通鑑長編,Extended Continuation of the Comprehensive Mirror for Aid in Government,CB,編年,,1126,李燾,Li Tao,,,,,,欽定四庫全書本,,,,,,,,,,,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&res=520633,,
Xu zizhi tongjian changbian,續資治通鑑長編,Extended Continuation of the Comprehensive Mirror for Aid in Government,CB,編年,,1126,李燾,Li Tao,,,,,,四庫全書本,,,,,,,,,,,,,,Wikisource,,https://zh.wikisource.org/zh-hant/%E7%BA%8C%E8%B3%87%E6%B2%BB%E9%80%9A%E9%91%91%E9%95%B7%E7%B7%A8,,
Yongzheng Zhejiang tongzhi,雍正浙江通志,,,地方誌,浙江,1735,李衛修 ,Li Wei,,沈翼機纂,Shen Yiji,,,清文淵閣四庫全書本,,,,,,,,杉,shan,fir,,,,LoGaRT,中國方志庫一集,,quoting 崇禎開化縣志,
Jiannian yilai fannian yaolü,建炎以來系年要錄,Record of essentials in the prosperous years since the Jianyan reign,JYFN,編年,,,李心傳,Li Xinzhuan,,,,,,欽定四庫全書本,,,,,,,,,,,,,,China Text Project,,https://ctext.org/wiki.pl?if=gb&res=907864,,
Songchao shishi,宋朝事實,,,政書,,南宋,李攸,Li You,,,,,,四庫全書,,,,,,,,,,,,,,Wikisource,,https://zh.wikisource.org/wiki/%E5%AE%8B%E6%9C%9D%E4%BA%8B%E5%AF%A6/%E5%8D%B707,,
Longjiang chuanchang zhi,龍江船廠志,Treatise on the Longjiang Shipyards,,政書,,1552,李昭祥,Li Zhaoxiang,,,,,,,,,,,,,,龍江船廠志序,Longjiang chuanchang zhi xu,preface to the treatise on the Longjiang shipyards,歐陽衢,Ouyang Qu,,Wikisource,,https://zh.wikisource.org/wiki/%E9%BE%8D%E6%B1%9F%E8%88%B9%E5%BB%A0%E5%BF%97%E5%BA%8F,,
Longjiang chuanchang zhi,龍江船廠志,Treatise on the Longjiang Shipyards,,政書,,1552,李昭祥,Li Zhaoxiang,,,,,,,,,,,,,,訓典志,shundian zhi,institutional precedents,,,,Wikisource,,https://zh.wikisource.org/zh-hant/%E9%BE%8D%E6%B1%9F%E8%88%B9%E5%BB%A0%E5%BF%97#%E5%8D%B7%E4%B8%80%C2%B7%E8%A8%93%E5%85%B8%E5%BF%97,,
Longjiang chuanchang zhi,龍江船廠志,Treatise on the Longjiang Shipyards,,政書,,1552,李昭祥,Li Zhaoxiang,,,,,,,,,,,,,,地科,di ke,land taxes,,,,Wikisource,,https://zh.wikisource.org/wiki/%E9%BE%8D%E6%B1%9F%E8%88%B9%E5%BB%A0%E5%BF%97#%E5%8D%B7%E4%BA%94%C2%B7%E6%96%82%E8%B2%A1%E5%BF%97,,
